lea_name,lea_id,state,year,homeschool_students
Monroe County,1303720,GA,2021-22,323
Monroe County,1303720,GA,2022-23,296
Montgomery County,1303750,GA,2017-18,77
Montgomery County,1303750,GA,2018-19,58
Montgomery County,1303750,GA,2019-20,79
Montgomery County,1303750,GA,2020-21,66
Montgomery County,1303750,GA,2021-22,82
Montgomery County,1303750,GA,2022-23,63
Morgan County,1303780,GA,2017-18,246
Morgan County,1303780,GA,2018-19,228
Morgan County,1303780,GA,2019-20,224
Morgan County,1303780,GA,2020-21,332
Morgan County,1303780,GA,2021-22,287
Morgan County,1303780,GA,2022-23,234
Murray County,1303840,GA,2017-18,311
Murray County,1303840,GA,2018-19,336
Murray County,1303840,GA,2019-20,374
Murray County,1303840,GA,2020-21,496
Murray County,1303840,GA,2021-22,514
Murray County,1303840,GA,2022-23,412
Muscogee County,1303870,GA,2017-18,931
Muscogee County,1303870,GA,2018-19,933
Muscogee County,1303870,GA,2019-20,1156
Muscogee County,1303870,GA,2020-21,1306
Muscogee County,1303870,GA,2021-22,1537
Muscogee County,1303870,GA,2022-23,1237
Newton County,1303930,GA,2017-18,1106
Newton County,1303930,GA,2018-19,1153
Newton County,1303930,GA,2019-20,1085
Newton County,1303930,GA,2020-21,1195
Newton County,1303930,GA,2021-22,1367
Newton County,1303930,GA,2022-23,1177
Oconee County,1303960,GA,2017-18,371
Oconee County,1303960,GA,2018-19,402
Oconee County,1303960,GA,2019-20,380
Oconee County,1303960,GA,2020-21,438
Oconee County,1303960,GA,2021-22,429
Oconee County,1303960,GA,2022-23,412
Oglethorpe County,1303990,GA,2017-18,140
Oglethorpe County,1303990,GA,2018-19,141
Oglethorpe County,1303990,GA,2019-20,156
Oglethorpe County,1303990,GA,2020-21,157
Oglethorpe County,1303990,GA,2021-22,216
Oglethorpe County,1303990,GA,2022-23,186
Paulding County,1304020,GA,2017-18,1952
Paulding County,1304020,GA,2018-19,2148
Paulding County,1304020,GA,2019-20,2157
Paulding County,1304020,GA,2020-21,2288
Paulding County,1304020,GA,2021-22,2315
Paulding County,1304020,GA,2022-23,2093
Peach County,1304050,GA,2017-18,232
Peach County,1304050,GA,2018-19,284
Peach County,1304050,GA,2019-20,266
Peach County,1304050,GA,2020-21,273
Peach County,1304050,GA,2021-22,288
Peach County,1304050,GA,2022-23,223
Pelham City,1304080,GA,2017-18,7
Pelham City,1304080,GA,2018-19,10
Pelham City,1304080,GA,2019-20,16
Pelham City,1304080,GA,2020-21,28
Pelham City,1304080,GA,2021-22,24
Pelham City,1304080,GA,2022-23,20
Pickens County,1304110,GA,2017-18,380
Pickens County,1304110,GA,2018-19,428
Pickens County,1304110,GA,2019-20,510
Pickens County,1304110,GA,2020-21,503
Pickens County,1304110,GA,2021-22,566
Pickens County,1304110,GA,2022-23,517
Pierce County,1304140,GA,2017-18,156
Pierce County,1304140,GA,2018-19,165
Pierce County,1304140,GA,2019-20,164
Pierce County,1304140,GA,2020-21,194
Pierce County,1304140,GA,2021-22,258
Pierce County,1304140,GA,2022-23,185
Pike County,1304170,GA,2017-18,264
Pike County,1304170,GA,2018-19,232
Pike County,1304170,GA,2019-20,247
Pike County,1304170,GA,2020-21,289
Pike County,1304170,GA,2021-22,301
Pike County,1304170,GA,2022-23,236
Polk County,1304200,GA,2017-18,392
Polk County,1304200,GA,2018-19,371
Polk County,1304200,GA,2019-20,411
Polk County,1304200,GA,2020-21,474
Polk County,1304200,GA,2021-22,556
Polk County,1304200,GA,2022-23,464
Pulaski County,1304220,GA,2017-18,38
Pulaski County,1304220,GA,2018-19,45
Pulaski County,1304220,GA,2019-20,54
Pulaski County,1304220,GA,2020-21,44
Pulaski County,1304220,GA,2021-22,55
Pulaski County,1304220,GA,2022-23,34
Putnam County,1304260,GA,2017-18,85
Putnam County,1304260,GA,2018-19,101
Putnam County,1304260,GA,2019-20,82
Putnam County,1304260,GA,2020-21,129
Putnam County,1304260,GA,2021-22,140
Putnam County,1304260,GA,2022-23,123
Quitman County,1304290,GA,2017-18,4
Quitman County,1304290,GA,2018-19,20
Quitman County,1304290,GA,2019-20,22
Quitman County,1304290,GA,2020-21,13
Quitman County,1304290,GA,2021-22,8
Quitman County,1304290,GA,2022-23,5
Rabun County,1304320,GA,2017-18,96
Rabun County,1304320,GA,2018-19,81
Rabun County,1304320,GA,2019-20,125
Rabun County,1304320,GA,2020-21,146
Rabun County,1304320,GA,2021-22,165
Rabun County,1304320,GA,2022-23,116
Randolph County,1304350,GA,2017-18,27
Randolph County,1304350,GA,2018-19,18
Randolph County,1304350,GA,2019-20,45
Randolph County,1304350,GA,2020-21,34
Randolph County,1304350,GA,2021-22,26
Randolph County,1304350,GA,2022-23,36
Richmond County,1304380,GA,2017-18,1076
Richmond County,1304380,GA,2018-19,1065
Richmond County,1304380,GA,2019-20,1136
Richmond County,1304380,GA,2020-21,1267
Richmond County,1304380,GA,2021-22,1331
Richmond County,1304380,GA,2022-23,1104
Rockdale County,1304410,GA,2017-18,662
Rockdale County,1304410,GA,2018-19,684
Rockdale County,1304410,GA,2019-20,631
Rockdale County,1304410,GA,2020-21,667
Rockdale County,1304410,GA,2021-22,870
Rockdale County,1304410,GA,2022-23,642
Rome City,1304440,GA,2017-18,90
Rome City,1304440,GA,2018-19,148
Rome City,1304440,GA,2019-20,138
Rome City,1304440,GA,2020-21,184
Rome City,1304440,GA,2021-22,192
Rome City,1304440,GA,2022-23,111
Savannah-Chatham County,1301020,GA,2017-18,1533
Savannah-Chatham County,1301020,GA,2018-19,1658
